epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1109.2,0.96948,0.66715,0.97143,0.95355,0.87983,0.96066,0.73801,0.82922,0.54543,0.86539,0.0095941,0.0095941,0.0095941
43,1134.8,0.95513,0.66081,0.96874,0.93024,0.9,0.95723,0.72192,0.82206,0.51494,0.86784,0.0095842,0.0095842,0.0095842
44,1160.62,0.93763,0.6464,0.96124,0.91243,0.89286,0.95021,0.72414,0.829,0.54054,0.86396,0.0095743,0.0095743,0.0095743
45,1186.34,0.91535,0.61632,0.95701,0.94374,0.90714,0.95622,0.73083,0.80506,0.51633,0.86415,0.0095644,0.0095644,0.0095644
46,1212.49,0.93357,0.63007,0.96095,0.90455,0.90714,0.95188,0.71306,0.85331,0.53618,0.88136,0.0095545,0.0095545,0.0095545
47,1238.29,0.93036,0.64353,0.95399,0.91987,0.90203,0.95591,0.72532,0.8369,0.53592,0.86191,0.0095446,0.0095446,0.0095446
48,1263.99,0.92732,0.63536,0.95417,0.90203,0.92068,0.94965,0.72593,0.82367,0.53261,0.87112,0.0095347,0.0095347,0.0095347
49,1290.12,0.91949,0.63181,0.95541,0.94189,0.90714,0.96574,0.74263,0.81238,0.51558,0.87618,0.0095248,0.0095248,0.0095248
50,1315.92,0.91049,0.62385,0.95063,0.93192,0.87994,0.96106,0.72206,0.80013,0.53736,0.86973,0.0095149,0.0095149,0.0095149
51,1341.95,0.92348,0.62475,0.95095,0.89677,0.93571,0.96229,0.73637,0.82652,0.5234,0.87505,0.009505,0.009505,0.009505
52,1367.54,0.92368,0.63038,0.95429,0.942,0.92803,0.97049,0.73795,0.81931,0.53171,0.87879,0.0094951,0.0094951,0.0094951
53,1393.37,0.90939,0.6139,0.94687,0.88548,0.93894,0.96196,0.7462,0.80493,0.50644,0.8636,0.0094852,0.0094852,0.0094852
54,1419.45,0.9188,0.63394,0.95802,0.94198,0.92771,0.97068,0.74089,0.85377,0.50109,0.88174,0.0094753,0.0094753,0.0094753
55,1453.88,0.88419,0.60323,0.9416,0.85536,0.92143,0.94732,0.72176,0.81629,0.50256,0.87208,0.0094654,0.0094654,0.0094654
56,1479.81,0.91487,0.61476,0.94954,0.93293,0.89426,0.96623,0.73602,0.80284,0.50615,0.87554,0.0094555,0.0094555,0.0094555
57,1505.48,0.89581,0.61223,0.95498,0.89682,0.93131,0.95835,0.76069,0.78133,0.498,0.8564,0.0094456,0.0094456,0.0094456
58,1531.11,0.89962,0.60195,0.9513,0.92072,0.91247,0.96322,0.75066,0.79614,0.50419,0.87399,0.0094357,0.0094357,0.0094357
59,1556.73,0.90295,0.61761,0.95117,0.91647,0.89286,0.95872,0.72985,0.79374,0.50825,0.87647,0.0094258,0.0094258,0.0094258
60,1582.34,0.91112,0.61348,0.95469,0.90836,0.92143,0.95188,0.73435,0.81401,0.50974,0.86391,0.0094159,0.0094159,0.0094159
61,1608.53,0.91592,0.61177,0.96151,0.93198,0.90714,0.96466,0.74474,0.8468,0.50919,0.8787,0.009406,0.009406,0.009406
62,1634.81,0.88435,0.5891,0.93751,0.92286,0.88571,0.95293,0.73782,0.79594,0.49339,0.8703,0.0093961,0.0093961,0.0093961
63,1661.23,0.89446,0.60326,0.935,0.93336,0.90043,0.96053,0.7338,0.80593,0.51166,0.87761,0.0093862,0.0093862,0.0093862
64,1687.64,0.9197,0.60804,0.95398,0.91398,0.9,0.94982,0.71971,0.82232,0.51201,0.87041,0.0093763,0.0093763,0.0093763
65,1714.19,0.88595,0.63003,0.94383,0.90383,0.88571,0.94563,0.73586,0.81539,0.49948,0.8826,0.0093664,0.0093664,0.0093664
66,1740.76,0.87588,0.60079,0.94041,0.91652,0.94111,0.96693,0.7449,0.78946,0.49862,0.86002,0.0093565,0.0093565,0.0093565
67,1767.62,0.90913,0.60035,0.96398,0.92094,0.91527,0.96552,0.7429,0.81767,0.50668,0.88041,0.0093466,0.0093466,0.0093466
68,1794,0.8578,0.58181,0.92618,0.9198,0.90714,0.95907,0.75604,0.76735,0.48341,0.85871,0.0093367,0.0093367,0.0093367
69,1820.78,0.84925,0.56954,0.92918,0.90259,0.92857,0.95654,0.72871,0.83729,0.49294,0.87676,0.0093268,0.0093268,0.0093268
70,1847.26,0.87521,0.58928,0.94022,0.95482,0.90573,0.96961,0.74497,0.81069,0.49266,0.8783,0.0093169,0.0093169,0.0093169
71,1874.04,0.86099,0.57113,0.93285,0.89051,0.94286,0.95767,0.74572,0.78716,0.48239,0.86493,0.009307,0.009307,0.009307
72,1900.85,0.90078,0.59707,0.94664,0.9152,0.92505,0.96233,0.74185,0.75657,0.51749,0.85824,0.0092971,0.0092971,0.0092971
73,1927.82,0.87331,0.57573,0.9459,0.92434,0.92857,0.96392,0.74207,0.77972,0.47644,0.87608,0.0092872,0.0092872,0.0092872
74,1954.8,0.86822,0.58195,0.94456,0.93427,0.91368,0.9577,0.74424,0.76809,0.49187,0.86325,0.0092773,0.0092773,0.0092773
75,1981.41,0.88181,0.59676,0.94476,0.92364,0.95041,0.96898,0.76604,0.77366,0.47877,0.85495,0.0092674,0.0092674,0.0092674
76,2008.13,0.85289,0.56504,0.92406,0.95375,0.89286,0.96821,0.74525,0.78826,0.47725,0.86382,0.0092575,0.0092575,0.0092575
77,2035.3,0.86244,0.57733,0.92758,0.89454,0.92143,0.9555,0.75429,0.77521,0.49358,0.86077,0.0092476,0.0092476,0.0092476
78,2062.43,0.8618,0.57165,0.94147,0.94252,0.90714,0.96016,0.7543,0.72654,0.4767,0.86366,0.0092377,0.0092377,0.0092377
79,2089.22,0.88187,0.58757,0.93963,0.90543,0.9,0.95933,0.75153,0.77941,0.49682,0.8645,0.0092278,0.0092278,0.0092278
80,2115.78,0.84906,0.58122,0.94675,0.88985,0.9233,0.9582,0.75397,0.76515,0.48006,0.8603,0.0092179,0.0092179,0.0092179
81,2142.43,0.88449,0.58281,0.95083,0.92625,0.89715,0.95186,0.74521,0.77489,0.46878,0.86674,0.009208,0.009208,0.009208
82,2169.05,0.8536,0.56041,0.92954,0.93048,0.92857,0.96846,0.75441,0.80139,0.47603,0.88521,0.0091981,0.0091981,0.0091981
83,2195.71,0.81878,0.54775,0.93104,0.91979,0.91429,0.95423,0.76478,0.74236,0.47509,0.85794,0.0091882,0.0091882,0.0091882
84,2222.4,0.84375,0.55893,0.92196,0.90889,0.92633,0.96086,0.74601,0.74957,0.46476,0.8534,0.0091783,0.0091783,0.0091783
85,2249.06,0.83698,0.56159,0.91783,0.92594,0.89309,0.95427,0.76024,0.74742,0.47157,0.85136,0.0091684,0.0091684,0.0091684
86,2275.45,0.83645,0.54255,0.92541,0.91646,0.92143,0.96205,0.75605,0.75037,0.46696,0.85354,0.0091585,0.0091585,0.0091585
87,2302.01,0.85357,0.55002,0.92765,0.95135,0.87857,0.96243,0.75451,0.75206,0.44623,0.86975,0.0091486,0.0091486,0.0091486
88,2328.51,0.86811,0.57048,0.92763,0.92417,0.90714,0.96039,0.75242,0.76933,0.47274,0.85914,0.0091387,0.0091387,0.0091387
89,2355.21,0.83594,0.55773,0.91852,0.91452,0.91699,0.95498,0.7517,0.7695,0.45598,0.85261,0.0091288,0.0091288,0.0091288
