epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,611.95,0.98921,0.62018,0.98574,0.9211,0.77835,0.85221,0.5552,1.06199,0.66942,1.17212,0.0095842,0.0095842,0.0095842
44,626.142,1.14226,0.67433,1.02324,0.92001,0.76677,0.87518,0.56197,0.93137,0.62251,1.06322,0.0095743,0.0095743,0.0095743
45,640.323,1.03861,0.61375,0.98858,0.9998,0.73333,0.88537,0.59621,1.00336,0.60858,1.01376,0.0095644,0.0095644,0.0095644
46,654.586,0.96708,0.58148,0.99759,0.80157,0.81667,0.85081,0.58402,0.91844,0.62215,0.98225,0.0095545,0.0095545,0.0095545
47,668.725,1.05765,0.62829,1.00731,0.84643,0.8,0.84055,0.56505,0.98143,0.68534,1.03131,0.0095446,0.0095446,0.0095446
48,682.926,1.01447,0.61487,0.95745,0.79817,0.65918,0.8036,0.55356,1.01977,0.85612,1.04977,0.0095347,0.0095347,0.0095347
49,697.069,1.07215,0.6732,0.99959,0.90471,0.68333,0.84455,0.53928,1.00481,0.67588,1.07735,0.0095248,0.0095248,0.0095248
50,711.236,0.99602,0.60334,0.96638,0.90441,0.78849,0.88014,0.59315,0.87684,0.58359,0.96411,0.0095149,0.0095149,0.0095149
51,725.425,1.0057,0.6154,0.96279,0.9067,0.80993,0.85832,0.5637,0.92186,0.62022,0.95644,0.009505,0.009505,0.009505
52,739.519,1.00818,0.61002,0.98775,0.75141,0.81667,0.81938,0.54342,0.9517,0.70713,1.03379,0.0094951,0.0094951,0.0094951
53,753.785,0.99365,0.59131,0.96523,0.79544,0.84261,0.85658,0.56292,0.90528,0.63908,0.98842,0.0094852,0.0094852,0.0094852
54,768.073,0.99808,0.61977,0.99923,0.81478,0.80652,0.81691,0.57032,0.92565,0.66859,1.03244,0.0094753,0.0094753,0.0094753
